COMPOUND_NAME	SACRI_PERIOD	DOSE_LEVEL	RBC(x10_4/ul)	Hb(g/dL)	Ht(%)	MCV(fL)	MCH(pg)	MCHC(%)	Ret(%)	Plat(x10_4/uL)	WBC(x10_2/uL)	Neu(%)	Eos(%)	Bas(%)	Mono(%)	Lym(%)	PT(s)	APTT(s)	Fbg(mg/dL)	ALP(IU/L)	TC(mg/dL)	TG(mg/dL)	PL(mg/dL)	TBIL(mg/dL)	DBIL(mg/dL)	GLC(mg/dL)	BUN(mg/dL)	CRE(mg/dL)	Na(meq/L)	K(meq/L)	Cl(meq/L)	Ca(mg/dL)	IP(mg/dL)	TP(g/dL)	RALB(g/dL)	A/G	AST(IU/L)	ALT(IU/L)	LDH(IU/L)	GTP(IU/L)
ASPIRIN	4 day	Low	463.77344	8.885203	28.152132	59.91506	20.359264	34.09788	4.845732	134.13293	191.52652	27.333406	6.787182	0.5401041	17.976204	64.10936	18.92486	25.589281	552.74036	1511.75	113.43443	180.22269	167.90034	0.24029577	0.096786544	194.7027	54.697594	0.73214984	139.4592	4.742042	109.58689	11.171722	9.138748	5.9778795	3.3841012	1.4110773	1064.7122	250.14125	2632.4238	4.3364987
ASPIRIN	4 day	Low	459.75677	8.84886	28.12082	59.99505	20.36687	34.131237	4.8730993	134.80087	191.61316	27.050014	6.7342176	0.5452157	17.775156	64.15748	18.880537	25.559904	560.57544	1519.8889	113.240486	181.27487	166.81018	0.2395453	0.0966959	195.442	55.135193	0.73805064	139.51242	4.737823	109.64134	11.168602	9.149357	5.975568	3.3961112	1.4159793	1068.7719	247.08134	2603.405	4.287018
ASPIRIN	4 day	Low	459.92084	8.861782	27.979982	60.091473	20.403158	34.147335	4.899104	135.0602	191.40865	27.495935	6.6999583	0.54168785	17.83397	63.997017	18.800524	25.560514	552.81635	1512.4565	113.99119	181.95316	167.18869	0.23969665	0.09530947	194.63571	55.331894	0.7371768	139.51245	4.7375674	109.50998	11.196461	9.150178	5.9848566	3.388936	1.4070468	1065.8867	248.37411	2652.2156	4.2947044
ASPIRIN	4 day	Low	461.61194	8.889532	27.981495	59.955288	20.348125	34.113693	4.858755	135.5583	189.34116	27.374912	6.7549686	0.5439558	17.871624	64.053246	18.811157	25.499256	549.7574	1515.1338	113.54704	180.47603	167.12843	0.24001548	0.09664362	195.34317	54.95111	0.7380446	139.48041	4.729088	109.61461	11.183797	9.159213	5.9735456	3.4003756	1.4106946	1071.9703	249.21411	2652.4858	4.31242
ASPIRIN	4 day	Low	463.84595	8.880878	28.082361	59.943512	20.361073	34.114998	4.9232745	134.98296	192.26895	27.31319	6.718361	0.53946924	17.724524	64.20416	18.884817	25.72094	552.4359	1517.3792	113.868645	181.00363	167.50183	0.2405336	0.09596702	195.47444	54.835457	0.73581934	139.457	4.73621	109.620605	11.169411	9.135523	5.9749217	3.389108	1.411952	1068.1033	250.40683	2638.1963	4.2930837
ASPIRIN	4 day	Low	458.86163	8.85512	28.002792	59.963184	20.362581	34.12596	4.921226	135.85117	190.02402	27.392834	6.692043	0.5419235	17.885878	64.19003	18.815693	25.517414	553.7452	1525.1296	113.45711	180.34467	167.46233	0.23907772	0.09608889	196.01587	54.599762	0.7307719	139.50153	4.7393785	109.51394	11.163214	9.146407	5.973929	3.3962688	1.410609	1065.5383	250.70757	2611.2356	4.3227305
ASPIRIN	4 day	Low	459.69452	8.832937	27.855818	59.989567	20.379625	34.13564	4.8858333	136.34166	192.45863	27.47598	6.68643	0.54065466	17.960337	64.27554	18.85616	25.763624	548.75165	1525.3003	113.85535	180.9761	167.41675	0.23889595	0.095853835	195.85289	54.592506	0.7315578	139.51479	4.745913	109.55805	11.182113	9.152651	5.9717093	3.3779023	1.4061141	1053.6968	249.03127	2645.2449	4.299964
ASPIRIN	4 day	Low	458.94308	8.877973	28.093666	60.033318	20.385723	34.126175	4.862133	134.83002	191.63326	27.375816	6.7708836	0.54335344	17.884365	64.06575	18.90548	25.568474	553.48926	1516.082	113.26352	180.13141	167.42935	0.23907393	0.09588605	195.10805	55.02755	0.73319155	139.4966	4.7307467	109.5501	11.175072	9.18561	5.973052	3.3954244	1.4113736	1074.5809	248.4219	2638.3206	4.272827
ASPIRIN	4 day	Low	457.74017	8.870738	28.024343	59.998917	20.37011	34.126984	4.9156466	135.69014	190.3292	27.096643	6.7747955	0.53840315	18.006569	64.17543	18.88486	25.47155	552.4173	1519.9012	112.6518	179.2478	166.92514	0.23873018	0.096048035	195.38954	54.415268	0.73324853	139.50548	4.7521834	109.64714	11.161793	9.115849	5.965142	3.3941097	1.4003567	1071.309	248.64317	2620.7156	4.303794
ASPIRIN	4 day	Low	460.04938	8.885488	28.146318	60.037674	20.379583	34.13611	4.953996	135.55814	190.27	27.22097	6.718746	0.5422379	18.02524	64.29126	18.864714	25.653107	553.00934	1508.3842	113.735016	180.4959	166.94438	0.23802714	0.09656488	194.01527	55.023262	0.7324185	139.4983	4.7364554	109.57228	11.157627	9.133456	5.9723134	3.3836365	1.410739	1062.111	249.76064	2635.165	4.290033
